text,label
"NASA discovers new habitable planet beyond our solar system.","REAL"
"Scientists confirm water found on Mars surface.","REAL"
"Celebrity claims earth is flat during interview.","FAKE"
"Government launches new AI mission to boost innovation.","REAL"
"Aliens have landed secretly in the desert, sources say.","FAKE"
"WHO announces new global health campaign.","REAL"
"Man builds flying car in his backyard and travels to space.","FAKE"
"Stock market reaches record high after tech boom.","REAL"
"Fake vaccine cures all diseases instantly, says viral post.","FAKE"
"University researchers develop vaccine for new virus strain.","REAL"
